id,domain_group,expected_class,local_path,image_url,source_url,notes
exterior_facade_peeling,exterior_facade,paint_degradation|spalling,,https://commons.wikimedia.org/wiki/Special:FilePath/Peeling%20paint%201.jpg,https://commons.wikimedia.org/wiki/File:Peeling_paint_1.jpg,Exterior/facade-like peeling paint sample used instead of a local Windows path
concrete_cracked_texture,concrete_crack,crack,,https://commons.wikimedia.org/wiki/Special:FilePath/Concrete%20cracked.jpg,https://commons.wikimedia.org/wiki/File:Concrete_cracked.jpg,Public concrete crack texture
cracked_wall_building,wall_crack,crack,,https://commons.wikimedia.org/wiki/Special:FilePath/Cracked%20wall.jpg,https://commons.wikimedia.org/wiki/File:Cracked_wall.jpg,Building wall crack
crack_in_wall,wall_crack,crack,,https://commons.wikimedia.org/wiki/Special:FilePath/Crack%20in%20the%20wall.jpg,https://commons.wikimedia.org/wiki/File:Crack_in_the_wall.jpg,Vertical wall crack
fractured_reinforced_column,concrete_spalling,spalling,,https://commons.wikimedia.org/wiki/Special:FilePath/Fractured%20reinforced%20concrete%20column.JPG,https://commons.wikimedia.org/wiki/File:Fractured_reinforced_concrete_column.JPG,Fractured concrete with exposed aggregate/rebar
broken_concrete_rebar,concrete_spalling,spalling,,https://commons.wikimedia.org/wiki/Special:FilePath/Broken%20concrete%20parking%20chock%20with%20exposed%20rebar.jpg,https://commons.wikimedia.org/wiki/File:Broken_concrete_parking_chock_with_exposed_rebar.jpg,Broken concrete with exposed rebar
rust_on_metal,metal_corrosion,corrosion,,https://commons.wikimedia.org/wiki/Special:FilePath/Rust%20on%20metal.jpg,https://commons.wikimedia.org/wiki/File:Rust_on_metal.jpg,Rust texture on metal
rust_on_iron,metal_corrosion,corrosion,,https://commons.wikimedia.org/wiki/Special:FilePath/Rust%20on%20iron.jpg,https://commons.wikimedia.org/wiki/File:Rust_on_iron.jpg,Rust on iron
peeling_paint_wall,paint_degradation,paint_degradation,,https://commons.wikimedia.org/wiki/Special:FilePath/Peeling%20paint%201.jpg,https://commons.wikimedia.org/wiki/File:Peeling_paint_1.jpg,Peeling paint on wall surface
paint_peeling_bathroom,paint_degradation,paint_degradation,,https://commons.wikimedia.org/wiki/Special:FilePath/Paint%20peeling%20off%20bathroom%20wall.jpg,https://commons.wikimedia.org/wiki/File:Paint_peeling_off_bathroom_wall.jpg,Moisture-related paint peeling
flaking_paint_rusting_metal,mixed_paint_corrosion,paint_degradation|corrosion,,https://commons.wikimedia.org/wiki/Special:FilePath/Flaking%20paint%20on%20rusting%20metal.jpg,https://commons.wikimedia.org/wiki/File:Love_by_SillyPuttyEnemies.jpg,Flaking paint with rusting metal underneath
marked_road_pothole,road_pothole,pothole,,https://commons.wikimedia.org/wiki/Special:FilePath/Marked%20Pothole.jpg,https://commons.wikimedia.org/wiki/File:Marked_Pothole.jpg,Marked asphalt pothole
asphalt_pothole,road_pothole,pothole,,https://commons.wikimedia.org/wiki/Special:FilePath/Pothole%20in%20an%20asphalt%20pavement.jpg,https://commons.wikimedia.org/wiki/File:Pothole_in_an_asphalt_pavement.jpg,Asphalt road pothole
old_concrete_wall_negative,negative_cleanish,none,,https://commons.wikimedia.org/wiki/Special:FilePath/Old%20concrete%20wall.jpg,https://commons.wikimedia.org/wiki/File:Old_concrete_wall.jpg,Old wall texture negative control
